n,ip_hash,first_click_utc,last_click_utc,first_click_paris,last_click_paris,search_window_start_paris,search_window_end_paris,clicks,device,referrer,utm_source,utm_medium,utm_campaign,user_agent
1,34948091609364747ad8d73a2c83fef0,2026-05-12 21:36:32,2026-05-12 21:36:32,2026-05-12 23:36:32,2026-05-12 23:36:32,2026-05-12 23:31:32,2026-05-13 00:06:32,1,iPhone,(direct - bio link ou app native),,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/148.0.7778.100 Mobile/15E148 Safari/604.1"
2,57183b777667d5be0c30be05d937310e,2026-05-12 23:46:17,2026-05-12 23:46:17,2026-05-13 01:46:17,2026-05-13 01:46:17,2026-05-13 01:41:17,2026-05-13 02:16:17,1,iPhone,https://taap.it/,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1"
3,3f2747af0a51035f065f6b4d7f2747c7,2026-05-13 00:34:39,2026-05-13 00:34:39,2026-05-13 02:34:39,2026-05-13 02:34:39,2026-05-13 02:29:39,2026-05-13 03:04:39,1,iPhone,(direct - bio link ou app native),,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1"
4,2fad2f211e17769c83a4c2bfcca15751,2026-05-13 09:39:17,2026-05-13 09:39:17,2026-05-13 11:39:17,2026-05-13 11:39:17,2026-05-13 11:34:17,2026-05-13 12:09:17,1,iPhone,https://taap.it/,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1"
5,4cdb1abd63281ec0ded434bb2871f0d8,2026-05-13 13:28:41,2026-05-13 13:28:41,2026-05-13 15:28:41,2026-05-13 15:28:41,2026-05-13 15:23:41,2026-05-13 15:58:41,1,iPhone,(direct - bio link ou app native),,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1 OPT/6.5.0"
6,83614d581eacba93e809f543a967bb82,2026-05-13 13:57:14,2026-05-13 14:19:04,2026-05-13 15:57:14,2026-05-13 16:19:04,2026-05-13 15:52:14,2026-05-13 16:49:04,3,iPhone,https://taap.it/,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/148.0.7778.100 Mobile/15E148 Safari/604.1"
7,ed8b32fc0448347a2fcbe30f36d2bf65,2026-05-13 21:34:19,2026-05-13 21:35:33,2026-05-13 23:34:19,2026-05-13 23:35:33,2026-05-13 23:29:19,2026-05-14 00:05:33,4,iPhone,(direct - bio link ou app native),,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1"
8,20d3072461527d061da9ea9d3d031077,2026-05-13 22:31:29,2026-05-13 22:31:29,2026-05-14 00:31:29,2026-05-14 00:31:29,2026-05-14 00:26:29,2026-05-14 01:01:29,1,iPhone,(direct - bio link ou app native),,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1"
9,b3204faf6c198dea2557b4559bf72c07,2026-05-15 02:09:03,2026-05-15 02:09:03,2026-05-15 04:09:03,2026-05-15 04:09:03,2026-05-15 04:04:03,2026-05-15 04:39:03,1,iPhone,https://taap.it/,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1"
10,90c058eb242206831a33046acac7ba95,2026-05-15 19:21:12,2026-05-15 19:21:12,2026-05-15 21:21:12,2026-05-15 21:21:12,2026-05-15 21:16:12,2026-05-15 21:51:12,1,iPhone,(direct - bio link ou app native),,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/148.0.7778.100 Mobile/15E148 Safari/604.1"
11,7d3d36d6857eb6b6b748895883a141b8,2026-05-16 16:09:10,2026-05-16 16:09:10,2026-05-16 18:09:10,2026-05-16 18:09:10,2026-05-16 18:04:10,2026-05-16 18:39:10,1,iPhone,(direct - bio link ou app native),,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1"
12,3c79d43030ff23a027617233599fad55,2026-05-16 20:39:18,2026-05-16 20:39:18,2026-05-16 22:39:18,2026-05-16 22:39:18,2026-05-16 22:34:18,2026-05-16 23:09:18,1,iPhone,https://taap.it/,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1"
